Filename,IonIndex,X,Y,X_rot,Y_rot,Kink,Predicted,Zigzag,DefectType
image14_1.tif,1,250.00000000000023,110.46842962916928,-678.2912266969583,-0.8356437904520609,True,False,,
image14_1.tif,2,342.0000000000001,110.05978752443684,-586.2906481182808,-0.5896162344125894,True,False,,
image14_1.tif,3,420.0000000000001,109.1204024937096,-508.2859383931797,-0.9739402366176734,True,False,,
image14_1.tif,4,488.0000000000001,111.87852938355724,-440.3072864724072,2.2679954467285532,False,False,B,
image14_1.tif,5,551.0,104.54320723248232,-377.25668436964014,-4.618841674809202,False,False,B,
image14_1.tif,6,606.0,115.4268527644181,-322.33552338427666,6.655900720678951,False,False,B,
image14_1.tif,7,657.0,101.1162761732912,-271.2349825158767,-7.291404586350534,False,False,B,
image14_1.tif,8,702.0,115.44011179026045,-226.33804826814054,7.352282174039084,False,False,B,
image14_1.tif,9,750.0,100.67884830256205,-178.2342244197247,-7.067046205391038,False,False,B,
image14_1.tif,10,794.0,115.5734339898524,-134.34132623272473,8.1402603129142,False,False,B,
image14_1.tif,11,840.0,99.28989734903672,-88.22661946231258,-7.815534402852567,False,False,B,
image14_1.tif,12,883.0,115.34347215732762,-45.341943164025174,8.543616030971833,False,False,B,
image14_1.tif,13,926.0,99.00579170773952,-2.226775159533324,-7.487668709101096,False,False,B,
image14_1.tif,14,971.0,114.5008964279036,42.66182449876288,8.327257500213332,False,False,B,
image14_1.tif,15,1016.0,97.97958970080728,87.77824852639182,-7.8734171440717935,False,False,B,
image14_1.tif,16,1060.0,113.80818418524372,131.66450043557546,8.267874524081906,False,False,B,
image14_1.tif,17,1106.0,97.69555478864264,177.777991053603,-7.5170172745113755,False,False,B,
image14_1.tif,18,1152.0,112.74907930377772,223.66970761768437,7.863455771848196,False,False,B,
image14_1.tif,19,1203.0,97.10189267390813,274.7797596188239,-7.420425733541019,False,False,B,
image14_1.tif,20,1250.0,110.88655361359606,321.68047992308584,6.698331724661632,False,False,B,
image14_1.tif,21,1305.0,99.2526251121252,376.76187286047536,-4.5439298118012665,False,False,B,
image14_1.tif,22,1369.0,105.33081202549644,440.7170009641704,1.9895183890982262,True,False,,
image14_1.tif,23,1438.0,102.0103682277584,509.73888183775546,-0.8398468553624686,True,False,,
image14_1.tif,24,1516.0,102.18660570245954,587.7356529469336,-0.10857659754488917,True,False,,
image14_1.tif,25,1612.0,100.48843320393132,683.7453063738195,-1.1235833384167497,True,False,,
image14_10.tif,1,242.0000000000001,109.3862602144466,-677.7658666696748,1.5626705656778526,True,False,,
image14_10.tif,2,335.0000000000001,109.3467035891204,-584.7679066434933,0.945422078143767,True,False,,
image14_10.tif,3,413.0000000000001,109.73318665415924,-506.77258139734164,0.0080806747147953,True,False,,
image14_10.tif,4,482.0000000000001,106.7531292331689,-437.75325580997423,2.5007574883772272,False,False,B,
image14_10.tif,5,544.0000000000001,113.57066497575336,-375.8029502682595,-4.754477648377641,False,False,B,
image14_10.tif,6,599.0,101.33141767056038,-320.7178833382303,7.096031872814734,False,False,B,
image14_10.tif,7,647.0,115.20618679724566,-272.817069724068,-7.117386907341887,False,False,B,
image14_10.tif,8,696.0,101.16655071087476,-223.71913807560807,6.57584095466646,False,False,B,
image14_10.tif,9,742.0,114.75207775078808,-177.81623183699475,-7.334218132242122,False,False,B,
image14_10.tif,10,789.0,98.41353027510424,-130.70201445558354,8.671988606154844,False,False,B,
image14_10.tif,11,831.0,121.93382851692348,-88.86917188755177,-15.144344278283835,False,False,B,
image14_10.tif,12,875.0,86.78623399086253,-44.622042487514584,19.691627659136742,False,False,B,
image14_10.tif,13,919.0,125.25785332425696,-0.8948421567432054,-19.08977826388511,False,False,B,
image14_10.tif,14,962.0,103.83036730883182,42.2554151514137,2.0334897404055883,False,False,B,
image14_10.tif,15,1008.0,101.11802475648452,88.27342362657491,4.420893791098365,False,False,A,normal_defect
image14_10.tif,16,1049.0,112.46565694720536,129.1922594917034,-7.216014207960404,False,False,A,
image14_10.tif,17,1097.0,97.17857631130822,177.29902604410367,7.7316895033554065,False,False,A,
image14_10.tif,18,1142.0,112.320174030707,222.19096761277873,-7.727339046031679,False,False,A,
image14_10.tif,19,1191.0,96.44899124626158,271.3018343948828,7.797389836873252,False,False,A,
image14_10.tif,20,1241.0,110.85533870112069,321.1988439067088,-6.961718834278671,False,False,A,
